track,slice,x,y
3,502,1444,907
3,505,1447,911
3,508,1450,914
3,511,1456,919
3,514,1461,921
3,517,1454,917
3,520,1450,910
3,523,1444,906
3,526,1439,902
3,529,1428,897
3,532,1425,894
3,535,1420,893
3,538,1414,891
3,541,1407,888
3,544,1410,889
3,547,1414,892
3,550,1414,893
3,553,1414,892
3,556,1414,891
3,559,1412,890
3,562,1411,892
3,565,1408,891
3,568,1407,889
3,571,1409,888
3,574,1408,888
3,577,1407,889
3,580,1408,889
3,583,1405,886
3,586,1402,884
3,589,1399,883
3,592,1394,881
3,595,1392,879
3,598,1389,878
3,601,1388,878
3,604,1390,880
3,607,1391,881
3,610,1390,877
3,613,1388,875
3,616,1385,873
3,619,1384,873
3,622,1385,873
3,625,1383,873
3,628,1382,873
3,631,1382,872
3,634,1377,869
3,637,1374,868
3,640,1372,868
3,643,1370,869
3,646,1370,868
3,649,1374,878
3,652,1387,890
3,655,1396,900
3,658,1401,905
3,661,1409,911
3,664,1417,915
3,667,1418,918
3,670,1422,918
3,673,1430,920
3,676,1439,920
3,679,1445,920
3,682,1452,920
3,685,1458,922
3,688,1460,922
3,691,1464,923
3,694,1473,923
3,697,1474,926
3,700,1479,929
3,703,1484,932
3,706,1492,936
3,709,1500,941
3,712,1505,945
3,715,1507,949
3,718,1513,952
3,721,1518,956
3,724,1523,959
3,727,1528,964
3,730,1536,970
3,733,1545,980
3,736,1547,982
3,739,1552,989
3,742,1555,994
3,745,1556,999
3,748,1558,1003
3,751,1559,1003
3,754,1563,1005
3,757,1562,1007
3,760,1566,1011
3,763,1569,1016
3,766,1574,1021
3,769,1574,1023
3,772,1576,1032
3,775,1577,1035
3,778,1583,1041
3,781,1587,1046
3,784,1592,1050
3,787,1601,1057
3,790,1608,1069
3,793,1611,1075
3,796,1616,1083
3,799,1619,1090
3,802,1623,1092
3,805,1620,1094
3,808,1626,1101
3,811,1632,1104
3,814,1640,1107
3,817,1647,1109
3,820,1652,1116
3,823,1657,1123
3,826,1662,1128
3,829,1676,1138
3,832,1683,1143
3,835,1689,1149
3,838,1690,1157
3,841,1692,1166
3,844,1695,1172
3,847,1699,1177
3,850,1701,1181
3,853,1705,1188
3,856,1712,1192
3,859,1716,1194
3,862,1720,1197
3,865,1727,1199
3,868,1729,1202
3,871,1732,1202
3,874,1739,1205
3,877,1748,1211
3,880,1754,1218
3,883,1763,1227
4,1,1947,1278
4,4,1944,1276
4,7,1940,1272
4,10,1934,1270
4,13,1929,1264
4,16,1926,1263
4,19,1922,1261
4,22,1918,1260
4,25,1912,1260
4,28,1906,1260
4,31,1896,1259
4,34,1887,1255
4,37,1878,1250
4,40,1876,1248
4,43,1862,1240
4,46,1855,1235
4,49,1851,1232
4,52,1843,1227
4,55,1829,1215
4,58,1825,1211
4,61,1821,1207
4,64,1816,1200
4,67,1810,1194
4,70,1805,1192
4,73,1803,1190
4,76,1802,1187
4,79,1794,1183
4,82,1789,1183
4,85,1781,1182
4,88,1773,1180
4,91,1758,1179
4,94,1745,1171
4,97,1743,1168
4,100,1735,1163
4,103,1727,1156
4,106,1723,1153
4,109,1718,1149
4,112,1712,1145
4,115,1704,1133
4,118,1699,1130
4,121,1697,1129
